keepable,hand size,num temples,scourge exiled,scourge in hand with cavern,serum powder usages
true,7,0,false,false,0
true,7,1,false,false,0
true,7,0,false,true,0
true,7,0,false,false,0
false,5,0,false,false,0
true,7,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,5,1,false,false,0
true,6,0,false,true,0
true,7,1,false,false,0
false,5,0,false,false,0
true,5,1,false,false,0
true,7,0,false,true,0
true,7,1,false,true,0
false,5,0,false,false,0
true,7,1,false,false,0
true,5,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,true,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,0,false,true,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,2,false,false,0
true,6,2,false,false,0
true,5,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,7,0,false,false,0
false,5,0,false,true,0
true,7,1,false,false,0
false,5,0,false,true,0
true,6,2,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
true,5,1,false,false,0
true,6,0,false,false,0
true,7,1,false,true,0
false,5,0,false,true,0
true,7,0,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,5,1,false,false,0
true,6,1,false,false,0
true,6,1,false,false,0
true,5,0,false,true,0
true,6,1,false,false,0
true,7,1,false,false,0
true,7,0,false,true,0
true,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,5,1,false,false,0
false,5,2,false,false,0
true,6,1,false,true,0
true,7,1,false,false,0
true,6,1,false,false,0
false,5,1,false,false,0
false,5,0,false,true,0
true,7,0,false,false,0
true,5,1,false,false,0
true,7,0,false,false,0
false,5,0,false,false,0
true,7,0,false,true,0
false,5,1,false,false,0
true,6,2,false,false,0
true,6,1,false,false,0
false,5,1,false,false,0
true,6,1,false,false,0
true,7,1,false,true,0
true,6,2,false,false,0
true,7,1,false,true,0
true,7,0,false,false,0
true,6,1,false,false,0
false,5,1,false,false,0
false,5,1,false,false,0
true,7,1,false,true,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,2,false,false,0
true,7,1,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,6,1,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
true,6,1,false,true,0
false,5,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,5,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,6,1,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
true,5,1,false,true,0
true,6,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,5,1,false,false,0
false,5,0,false,false,0
true,7,2,false,false,0
false,5,0,false,false,0
true,7,2,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
true,7,1,false,false,0
true,7,2,false,false,0
true,6,2,false,false,0
true,6,1,false,false,0
true,7,1,false,false,0
true,7,2,false,true,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,2,false,false,0
false,5,0,false,false,0
false,5,1,false,true,0
false,5,1,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
true,6,1,false,true,0
true,7,1,false,true,0
true,7,0,false,true,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,true,0
true,7,0,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,1,false,false,0
true,6,1,false,false,0
true,5,0,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
true,7,1,false,false,0
true,7,0,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,true,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,2,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,5,1,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
true,7,1,false,true,0
true,7,0,false,false,0
false,5,0,false,true,0
true,7,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
false,5,1,false,false,0
true,6,1,false,false,0
true,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,2,false,false,0
true,6,1,false,true,0
true,6,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
true,5,2,false,false,0
true,6,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,6,0,false,false,0
true,5,1,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
true,7,2,false,false,0
false,5,0,false,false,0
true,7,1,false,true,0
false,5,0,false,true,0
true,7,2,false,false,0
true,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,6,2,false,false,0
true,7,0,false,false,0
true,6,1,false,false,0
false,5,0,false,true,0
true,5,1,false,false,0
true,7,0,false,false,0
true,7,1,false,true,0
true,6,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
true,7,0,false,true,0
false,5,0,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,1,false,false,0
true,7,0,false,true,0
true,7,1,false,false,0
true,6,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,5,1,false,false,0
false,5,0,false,false,0
true,7,0,false,true,0
true,7,0,false,true,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,0,false,true,0
true,7,2,false,false,0
false,5,0,false,false,0
true,7,1,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,2,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,1,false,true,0
true,7,1,false,false,0
true,6,1,false,false,0
true,7,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,true,0
false,5,0,false,false,0
true,6,2,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,0,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,2,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,2,false,true,0
false,5,0,false,false,0
true,6,3,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,6,1,false,false,0
true,7,2,false,false,0
false,5,0,false,false,0
true,7,0,false,true,0
true,7,0,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,6,0,false,true,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,5,1,false,false,0
true,6,1,false,false,0
true,7,1,false,false,0
true,7,1,false,true,0
true,5,1,false,false,0
true,7,1,false,false,0
true,6,2,false,false,0
true,7,1,false,true,0
true,7,1,false,true,0
true,7,0,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,5,1,false,false,0
true,7,0,false,false,0
true,5,1,false,false,0
true,6,1,false,false,0
false,5,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
false,5,1,false,false,0
true,6,1,false,false,0
true,6,1,false,false,0
true,5,1,false,false,0
true,6,1,false,false,0
true,6,1,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
true,7,1,false,true,0
false,5,0,false,false,0
true,7,2,false,false,0
true,6,0,false,false,0
true,6,0,false,true,0
false,5,1,false,false,0
true,7,1,false,true,0
true,7,0,false,true,0
true,7,1,false,true,0
true,6,1,false,false,0
true,7,1,false,false,0
false,5,0,false,true,0
false,5,1,false,false,0
true,7,1,false,false,0
true,6,0,false,false,0
false,5,1,false,false,0
true,6,2,false,false,0
true,6,0,false,false,0
true,5,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,0,false,false,0
true,7,2,false,false,0
true,6,1,false,false,0
true,7,0,false,false,0
true,7,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,6,1,false,true,0
false,5,0,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
true,6,0,false,false,0
false,5,1,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
true,7,1,false,false,0
true,7,0,false,true,0
true,7,1,false,false,0
true,5,1,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
true,6,1,false,false,0
true,7,0,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
true,6,2,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,0,false,true,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
true,7,0,false,false,0
true,7,1,false,false,0
true,7,0,false,true,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
true,6,2,false,false,0
false,5,2,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
false,5,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,0,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,true,0
false,5,1,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
true,5,1,false,false,0
true,7,2,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,true,0
true,7,2,false,false,0
true,7,2,false,false,0
true,5,0,false,true,0
true,7,1,false,true,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,1,false,false,0
false,5,1,false,true,0
false,5,0,false,true,0
true,6,1,false,false,0
false,5,0,false,false,0
true,7,2,false,false,0
false,5,2,false,false,0
true,7,2,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,5,3,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,6,2,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
true,7,1,false,true,0
true,7,0,false,false,0
true,7,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,7,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,0,false,false,0
false,5,2,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,7,0,false,true,0
true,7,1,false,false,0
true,6,1,false,true,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
true,5,0,false,false,0
true,6,0,false,false,0
true,5,0,false,false,0
true,5,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,5,1,false,false,0
false,5,0,false,false,0
true,7,0,false,false,0
true,7,0,false,true,0
true,6,1,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
true,7,1,false,true,0
true,5,1,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
false,5,1,false,false,0
false,5,0,false,true,0
false,5,0,false,false,0
true,5,2,false,false,0
true,7,1,false,false,0
false,5,0,false,true,0
true,6,1,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,7,1,false,true,0
true,5,1,false,false,0
false,5,2,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,5,1,false,true,0
true,7,1,false,true,0
true,7,2,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,true,0
true,7,1,false,false,0
true,7,0,false,false,0
true,6,1,false,true,0
true,5,1,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
true,7,2,false,false,0
false,5,0,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,2,false,false,0
true,7,1,false,false,0
true,7,1,false,true,0
true,7,2,false,false,0
true,7,2,false,false,0
true,6,1,false,false,0
true,7,0,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
true,5,1,false,false,0
true,6,1,false,false,0
false,5,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,6,0,false,false,0
true,6,2,false,false,0
true,5,2,false,true,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,7,1,false,true,0
true,6,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,7,1,false,true,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
true,5,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,0,false,true,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,0,false,true,0
false,5,1,false,false,0
false,5,0,false,false,0
true,7,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
true,6,2,false,false,0
false,5,0,false,false,0
true,6,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
true,7,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,6,1,false,true,0
false,5,0,false,true,0
false,5,0,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,7,0,false,true,0
false,5,0,false,false,0
false,5,1,false,false,0
false,5,1,false,false,0
true,5,1,false,false,0
false,5,0,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
true,7,0,false,false,0
true,6,2,false,false,0
true,7,0,false,true,0
true,7,0,false,false,0
true,5,1,false,false,0
true,6,1,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,6,1,false,false,0
true,7,2,false,false,0
true,6,1,false,false,0
false,5,1,false,false,0
false,5,1,false,false,0
false,5,0,false,false,0
true,7,0,false,false,0
true,7,0,false,false,0
true,6,1,false,false,0
true,7,0,false,true,0
true,6,0,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,2,false,false,0
false,5,1,false,true,0
false,5,0,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,1,false,false,0
true,5,1,false,false,0
false,5,1,false,false,0
true,7,1,false,false,0
true,6,2,false,false,0
true,6,1,false,false,0
true,6,1,false,true,0
true,7,0,false,true,0
true,5,1,false,false,0
true,7,0,false,true,0
false,5,0,false,false,0
true,5,1,false,false,0
true,7,0,false,true,0
false,5,0,false,false,0
true,7,1,false,true,0
true,6,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,6,0,false,true,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,6,2,false,false,0
true,7,1,false,false,0
true,7,0,false,false,0
false,5,0,false,false,0
false,5,1,false,false,0
false,5,2,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
true,5,2,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,7,1,false,true,0
true,6,1,false,false,0
true,7,1,false,false,0
true,7,2,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
false,5,0,false,false,0
true,7,1,false,false,0
false,5,0,false,false,0
true,6,0,false,false,0
true,7,1,false,false,0
true,7,2,false,false,0
true,6,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,7,1,false,false,0
true,6,1,false,false,0
true,6,1,false,false,0
false,5,0,false,false,0
